,Isolate,ETHIONAMIDE
141,site.02.subj.0037.lab.2014251029.iso.1,0.7269245982170105
142,site.02.subj.0038.lab.2015235078.iso.1,0.7269245982170105
143,site.02.subj.0040.lab.2015235180.iso.1,0.7269250154495239
144,site.02.subj.0043.lab.2015231007.iso.1,0.7269245982170105
145,site.02.subj.0044.lab.2015231009.iso.1,0.7268037796020508
146,site.02.subj.0046.lab.2015231016.iso.1,0.7269245982170105
147,site.02.subj.0047.lab.2015231017.iso.1,0.7262606620788574
148,site.02.subj.0049.lab.2015232027.iso.1,0.7269245982170105
149,site.02.subj.0050.lab.2015232028.iso.1,0.7269245982170105
150,site.02.subj.0051.lab.22A001.iso.1,0.7269245982170105
151,site.02.subj.0053.lab.22A003.iso.1,0.542327344417572
152,site.02.subj.0055.lab.22A005.iso.1,0.7269245982170105
153,site.02.subj.0056.lab.22A006.iso.1,0.7269250154495239
154,site.02.subj.0057.lab.22A007.iso.1,0.7256628274917603
155,site.02.subj.0058.lab.22A008.iso.1,0.7269245982170105
156,site.02.subj.0059.lab.22A009.iso.1,0.7269250154495239
157,site.02.subj.0062.lab.22A012.iso.1,0.22501859068870544
158,site.02.subj.0063.lab.22A013.iso.1,0.7268111109733582
159,site.02.subj.0064.lab.22A014.iso.1,0.7269245386123657
160,site.02.subj.0065.lab.22A015.iso.1,0.7269245982170105
161,site.02.subj.0066.lab.22A016.iso.1,0.7273070216178894
162,site.02.subj.0067.lab.22A017.iso.1,0.7269245982170105
163,site.02.subj.0069.lab.22A019.iso.1,0.7269245982170105
164,site.02.subj.0070.lab.22A021.iso.1,0.7269250154495239
165,site.02.subj.0071.lab.22A022.iso.1,0.7269245982170105
166,site.02.subj.0072.lab.22A023.iso.1,0.7269250154495239
167,site.02.subj.0073.lab.22A025.iso.1,0.7269245982170105
168,site.02.subj.0074.lab.22A026.iso.1,0.7267103791236877
169,site.02.subj.0075.lab.22A027.iso.1,0.7269245982170105
170,site.02.subj.0076.lab.22A028.iso.1,0.7269245982170105
171,site.02.subj.0077.lab.22A029.iso.1,0.22508889436721802
172,site.02.subj.0078.lab.22A030.iso.1,0.7269245982170105
173,site.02.subj.0079.lab.22A031.iso.1,0.7269245982170105
174,site.02.subj.0080.lab.22A020.iso.1,0.22483283281326294
175,site.02.subj.0081.lab.22A032.iso.1,0.7236523628234863
176,site.02.subj.0082.lab.22A033.iso.1,0.5466941595077515
177,site.02.subj.0083.lab.22A034.iso.1,0.5466941595077515
178,site.02.subj.0084.lab.22A035.iso.1,0.7269245982170105
