,0
1129,Peru3415
1130,Peru3416
1131,Peru3417
1132,Peru3418
1133,Peru3419
1134,Peru3420
1135,Peru3421
1136,Peru3422
1137,Peru3423
1138,Peru3424
1139,Peru3425
1140,Peru3426
1141,Peru3427
1142,Peru3428
1143,Peru3429
1144,Peru3430
1145,Peru3431
1146,Peru3432
1147,Peru3433
1148,Peru3434
1149,Peru3435
1150,Peru3528
1151,Peru3962
1152,Peru3963
1153,Peru3965
1154,Peru3966
1155,Peru3967
1156,Peru3968
1157,Peru3969
1158,Peru3970
1159,Peru3971
1160,Peru3972
1161,Peru3973
1162,Peru3974
1163,Peru3975
1164,Peru3976
1165,Peru3977
1166,Peru3978
1167,Peru3979
1168,Peru3980
1169,Peru3981
1170,Peru3982
1171,Peru3983
1172,Peru3984
1173,Peru3985
1174,Peru3986
1175,Peru3987
1176,Peru3988
1177,Peru3989
1178,Peru3990
1179,Peru3991
1180,Peru3992
1181,Peru3993
1182,Peru3994
1183,Peru3995
1184,Peru3996
1185,Peru3997
1186,Peru3998
1187,Peru3999
1188,Peru4000
1189,Peru4001
1190,Peru4002
1191,Peru4003
1192,Peru4004
1193,Peru4005
1194,Peru4007
1195,Peru4008
1196,Peru4009
1197,Peru4010
1198,Peru4011
1199,Peru4012
1200,Peru4013
1201,Peru4015
1202,Peru4016
1203,Peru4017
1204,Peru4019
1205,Peru4020
1206,Peru4021
1207,Peru4023
1208,Peru4024
1209,Peru4025
1210,Peru4026
1211,Peru4029
1212,Peru4030
1213,Peru4032
1214,Peru4033
1215,Peru4034
1216,Peru4035
1217,Peru4036
1218,Peru4037
1219,Peru4038
1220,Peru4039
1221,Peru4040
1222,Peru4041
1223,Peru4042
1224,Peru4043
1225,Peru4044
1226,Peru4045
1227,Peru4046
1228,Peru4047
1229,Peru4048
1230,Peru4049
1231,Peru4050
1232,Peru4051
1233,Peru4052
1234,Peru4053
1235,Peru4054
1236,Peru4055
1237,Peru4056
1238,Peru4057
1239,Peru4058
1240,Peru4059
1241,Peru4060
1242,Peru4061
1243,Peru4062
1244,Peru4063
1245,Peru4064
1246,Peru4065
1247,Peru4066
1248,Peru4067
1249,Peru4068
1250,Peru4069
1251,Peru4070
1252,Peru4071
1253,Peru4072
1254,Peru4073
1255,Peru4074
1256,Peru4075
1257,Peru4076
1258,Peru4077
1259,Peru4078
1260,Peru4079
1261,Peru4080
1262,Peru4081
1263,Peru4082
1264,Peru4083
1265,Peru4084
1266,Peru4085
1267,Peru4086
1268,Peru4087
1269,Peru4088
1270,Peru4089
1271,Peru4090
1272,Peru4091
1273,Peru4093
1274,Peru4094
1275,Peru4095
1276,Peru4096
1277,Peru4097
1278,Peru4098
1279,Peru4099
1280,Peru4100
1281,Peru4101
1282,Peru4102
1283,Peru4103
1284,Peru4104
1285,Peru4105
1286,Peru4106
1287,Peru4107
1288,Peru4109
1289,Peru4110
1290,Peru4111
1291,Peru4112
1292,Peru4113
1293,Peru4114
1294,Peru4116
1295,Peru4117
1296,Peru4118
1297,Peru4120
1298,Peru4121
1299,Peru4122
1300,Peru4123
1301,Peru4124
1302,Peru4125
